county,precinct,office,district,party,candidate,votes,early_voting,election_day
Fisher,10,"Justice, Supreme Court Pl 5",,REP,Rick Green,40,9,31
Fisher,10,"Justice, Supreme Court Pl 9",,REP,Eva Guzman,30,5,25
Fisher,10,"Justice, Supreme Court Pl 9",,REP,Joe Pool,57,16,41
Fisher,10,"Judge, Court of Criminal Appeals, Pl 2",,REP,y Wheless,25,7,18
Fisher,10,"Judge, Court of Criminal Appeals, Pl 2",,REP,Chris Oldner,24,6,18
Fisher,10,"Judge, Court of Criminal Appeals, Pl 2",,REP,Mary Lou Keel,28,7,21
Fisher,10,"Judge, Court of Criminal Appeals, Pl 5",,REP,Scott Walker,42,8,34
Fisher,10,"Judge, Court of Criminal Appeals, Pl 5",,REP,Sid Harle,12,3,9
Fisher,10,"Judge, Court of Criminal Appeals, Pl 5",,REP,Steve Smith,15,6,9
Fisher,10,"Judge, Court of Criminal Appeals, Pl 5",,REP,Brent Webster,12,3,9
Fisher,10,"Judge, Court of Criminal Appeals, Pl 6",,REP,Michael E Keasler,37,10,27
Fisher,10,"Judge, Court of Crimianl Appeals, Pl 6",,REP,Richard Davis,44,12,32
Fisher,10,State Senator,28,REP,Charles Perry,83,21,62
Fisher,10,State Representative,68,REP,Drew Springer,84,22,62
Fisher,10,11th Court of Appeals Dist Pl 3,,REP,John Bailey,85,22,63
Fisher,10,Prop 1,,REP,Yes,62,16,46
Fisher,10,Prop 1,,REP,No,42,8,34
Fisher,10,Prop 2,,REP,Yes,53,11,42
Fisher,10,Prop 2,,REP,No,56,13,43
Fisher,10,Prop 3,,REP,Yes,79,20,59
Fisher,10,Prop 3,,REP,No,28,4,24
Fisher,10,Prop 4,,REP,Yes,100,24,76
Fisher,10,Prop 4,,REP,No,3,0,3
Fisher,12,President,,REP,Mike Huckabee,1,0,1
Fisher,12,President,,REP,Jeb Bush,1,0,1
Fisher,12,President,,REP,Marco Rubio,7,1,6
Fisher,12,President,,REP,Ted Cruz,70,11,59
