county,precinct,office,district,party,candidate,votes,early_voting,election_day
Medina,1D,Railroad Commissioner,,REP,John Greytok,15,7,8
Medina,1D,Railroad Commissioner,,REP,Weston Martinez,37,15,22
Medina,1D,Railroad Commissioner,,REP,Ron Hale,87,55,32
Medina,1D,Railroad Commissioner,,REP,Lance N. Christian,45,24,21
Medina,1D,Railroad Commissioner,,REP,Doug Jeffrey,54,20,34
Medina,1D,Railroad Commissioner,,REP,Wayne Christian,174,118,56
Medina,1D,Railroad Commissioner,,DEM,Lon Burnam,22,12,10
Medina,1D,Railroad Commissioner,,DEM,Grady Yarbrough,63,31,32
Medina,1D,Railroad Commissioner,,DEM,Cody Garrett,41,19,22
Medina,1D,"Justice, Supreme Court Place 3",,REP,Debra Lehmann,399,248,151
Medina,1D,"Justice, Supreme Court Place 3",,REP,Micahel Massengale,247,145,102
Medina,1D,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,112,57,55
Medina,1D,"Justice, Supreme Court Place 5",,REP,Rick Green,354,202,152
Medina,1D,"Justice, Supreme Court Place 5",,REP,Paul Green,268,171,97
Medina,1D,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,123,60,63
Medina,1D,"Justice, Supreme Court Place 9",,REP,Joe Pool,396,232,164
Medina,1D,"Justice, Supreme Court Place 9",,REP,Eva Guzman,240,150,90
Medina,1D,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,121,59,62
Medina,1D,"Judge, Court of Criminal Appeals Place 2",,REP,Ray Wheless,217,134,83
Medina,1D,"Judge, Court of Criminal Appeals Place 2",,REP,Mary Lou Keel,244,152,92
Medina,1D,"Judge, Court of Criminal Appeals Place 2",,REP,Chris Oldner,129,62,67
Medina,1D,"Judge, Court of Criminal Appeals Place 2",,DEM,"Lawerence ""Larry"" Meyers",118,56,62
Medina,1D,"Judge, Court of Criminal Appeals Place 5",,REP,Scott Walker,304,182,122
Medina,1D,"Judge, Court of Criminal Appeals Place 5",,REP,Brent Webster,60,31,29
Medina,1D,"Judge, Court of Criminal Appeals Place 5",,REP,Steve Smith,87,41,46
Medina,1D,"Judge, Court of Criminal Appeals Place 5",,REP,Sid Harle,162,109,53
Medina,1D,"Judge, Court of Criminal Appeals Place 5",,DEM,Betsy Johnson,123,60,63
Medina,1D,"Judge, Court of Criminal Appeals Place 6",,REP,Richard Davis,342,206,136
Medina,1D,"Judge, Court of Criminal Appeals Place 6",,REP,Michael E. Keasler,238,136,102
Medina,1D,"Judge, Court of Criminal Appeals Place 6",,DEM,Robert Burns,119,56,63
Medina,1D,"Member, State Board of Education Dis. 1",,DEM,Georgina Perez,71,35,36
Medina,1D,"Member, State Board of Education Dis. 1",,DEM,Lynn Oliver,47,26,21
Medina,1D,"Member, State Board of Education Dis. 1",,DEM,"Joe Fierro, Jr.",15,6,9
Medina,1D,State Senator,19,REP,Peter P. Flores,562,333,229
Medina,1D,State Senator,19,DEM,Helen Madia,59,36,23
Medina,1D,State Senator,19,DEM,Carlos I. Uresti ,83,36,47
Medina,1D,State Representative,53,REP,Andrew Murr,630,386,244
Medina,1D,State Representative,53,DEM,Stephanie Lochte Ertel,120,59,61
Medina,1D,Justice 4th Court of Appeals District Place 6,,REP,Jason Pulliam,572,341,231
Medina,1D,Justice 4th Court of Appeals District Place 6,,DEM,Irene Rios,123,60,63
Medina,1D,PROPOSITION 1,,REP,FOR,547,337,210
Medina,1D,PROPOSITION 1,,REP,AGAINST,204,119,85
Medina,1D,PROPOSITION 2,,REP,FOR,472,285,187
Medina,1D,PROPOSITION 2,,REP,AGAINST,286,176,110
Medina,1D,PROPOSITION 3,,REP,FOR,635,396,239
Medina,1D,PROPOSITION 3,,REP,AGAINST,117,60,57
Medina,1D,PROPOSITION 4,,REP,FOR,714,437,277
Medina,1D,PROPOSITION 4,,REP,AGAINST,33,18,15
Medina,1D,REFERENDA ITEM 1,,DEM,FOR,117,65,52
Medina,1D,REFERENDA ITEM 1,,DEM,AGAINST,21,6,15
Medina,1D,REFERENDA ITEM 2,,DEM,FOR,120,64,56
Medina,1D,REFERENDA ITEM 2,,DEM,AGAINST,15,6,9
Medina,1D,REFERENDA ITEM 3,,DEM,FOR,120,67,53
Medina,1D,REFERENDA ITEM 3,,DEM,AGAINST,17,4,13
Medina,1D,REFERENDA ITEM 4,,DEM,FOR,126,68,58
Medina,1D,REFERENDA ITEM 4,,DEM,AGAINST,10,1,9
Medina,1D,REFERENDA ITEM 5,,DEM,FOR,97,59,38
Medina,1D,REFERENDA ITEM 5,,DEM,AGAINST,39,10,29
Medina,1D,REFERENDA ITEM 6,,DEM,FOR,122,66,56
Medina,1D,REFERENDA ITEM 6,,DEM,AGAINST,15,5,10
Medina,2A,Registered Voters - Total,,,,1348,,
Medina,2A,President,,REP,Carly Fiorina,0,0,0
Medina,2A,President,,REP,Rick Santorum,0,0,0
Medina,2A,President,,REP,Marco Rubio,54,26,28
Medina,2A,President,,REP,Rand Paul,2,0,2
Medina,2A,President,,REP,Mike Huckabee,0,0,0
Medina,2A,President,,REP,Elizabeth Gray,0,0,0
Medina,2A,President,,REP,Chris Christie,0,0,0
Medina,2A,President,,REP,Jeb Bush,3,2,1
Medina,2A,President,,REP,Ted Cruz,209,99,110
Medina,2A,President,,REP,Lindsey Graham,0,0,0
Medina,2A,President,,REP,Ben Carson,15,10,5
Medina,2A,President,,REP,Donald J. Trump,87,36,51
Medina,2A,President,,REP,John R. Kasich,13,1,12
Medina,2A,President,,REP,Uncommitted,2,1,1
Medina,2A,President,,DEM,Willie L. Wilson,0,0,0
Medina,2A,President,,DEM,Star Locke,1,1,0
Medina,2A,President,,DEM,Hillary Clinton,52,20,32
Medina,2A,President,,DEM,Keith Judd,0,0,0
Medina,2A,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Medina,2A,President,,DEM,Martin J. O'Malley,0,0,0
Medina,2A,President,,DEM,Calvis L. Hawes,0,0,0
Medina,2A,President,,DEM,Bernie Sanders,22,8,14
Medina,2A,U.S. House,23,REP,"William ""Hart"" Peterson",44,18,26
Medina,2A,U.S. House,23,REP,Will Hurd,321,153,168
Medina,2A,U.S. House,23,DEM,Lee Keenen,12,3,9
Medina,2A,U.S. House,23,DEM,Pete P. Gallego,57,24,33
Medina,2A,Railroad Commissioner,,REP,Gary Gates,91,51,40
Medina,2A,Railroad Commissioner,,REP,John Greytok,9,5,4
Medina,2A,Railroad Commissioner,,REP,Weston Martinez,27,4,23
Medina,2A,Railroad Commissioner,,REP,Ron Hale,54,21,33
Medina,2A,Railroad Commissioner,,REP,Lance N. Christian,29,14,15
Medina,2A,Railroad Commissioner,,REP,Doug Jeffrey,16,8,8
Medina,2A,Railroad Commissioner,,REP,Wayne Christian,76,43,33
Medina,2A,Railroad Commissioner,,DEM,Lon Burnam,9,3,6
